Nama_Tempat,Kategori,Jenis_Masakan,Latitude,Longitude,Alamat_Jalan,Kota
Alfamart,convenience,,-6.266325999999999,107.1056467,,
Superindo,supermarket,,-6.248874499999999,106.9691274,,
Subway,fast_food,sandwich,-6.328414,107.12792829999998,jalan meranti 1,Bekasi
SGC - Sentra Grosir Cikarang,supermarket,,-6.25821,107.14647059999999,,
kido hums,guest_house,,-6.2354424,106.9260857,,
Giant,supermarket,,-6.288243699999999,107.1596674,,
Pasar Babelan,supermarket,,-6.166212599999999,107.04607039999999,,
Arundina,supermarket,,-6.4447982,107.0404181,,
Indomaret,convenience,,-6.4448408,107.04031089999998,Jalan Bukit Menteng,Kabupaten Bogor
Mocari Coffee,cafe,coffee_shop,-6.4523195,107.0417539,,
Hotel Bunga Karang,hotel,,-6.2475799,107.00207879999999,,
Alfamidi,convenience,,-6.2456085,106.93501449999998,,
Salira,convenience,,-6.2427582,106.9342393,,
Alfa Express,convenience,,-6.2434194,106.93430369999999,,
Pizza Hut,restaurant,pizza,-6.2435573,106.93433559999998,,
Naga,supermarket,,-6.25897,107.1475907,,
Alfamaret,convenience,,-6.2532909,107.1725784,,
Plaza Jababeka,supermarket,,-6.297913999999999,107.14945509999998,,
Paparons Pizza,fast_food,,-6.2971623,107.14757469999999,,
Grand Zuri,hotel,,-6.298847099999999,107.14841169999998,,
Carefour,supermarket,,-6.311076,107.1451716,,
UD. Lsetari,convenience,,-6.104700799999999,106.94014009999998,Jl. Sungai Landak,
Giant Metland,supermarket,,-6.405164,106.97587099999998,Raya Jonggol,
SPBU 34.413.45,fuel,,-6.3554139,107.2298455,Jalan Tol Jakarta-Cikampek,Karawang
Alfamidi Muncang,supermarket,,-6.116137399999999,106.907078,,
Pondok Sate Jatisari,restaurant,,-6.340959399999999,106.94498059999998,,
Dapur Betawi,restaurant,,-6.3289632,106.9462011,,
Saung Apung,restaurant,,-6.317267499999999,106.97139129999998,,
Komsen Akuarium,restaurant,,-6.3059373999999995,106.95612719999998,,
Restoran Pizza Hut - Komsen Jatiasih Bekasi,restaurant,,-6.2927425,106.95996609999999,"Jalan Raya Jati Asih No.13, Jatiasih, Bekasi, Kota BksJatiasih",Bekasi
GS Supermarket,supermarket,,-6.278037099999999,106.9910525,Jalan Kemang Pratama Raya,
"Mas Thole, Bakso & Mie Ayam",restaurant,"meat_ball,_chicken noodle",-6.3291014,106.9532525,,
RM Bagindo,restaurant,,-6.2804838,107.0870162,,
Ceria Mart,convenience,,-6.4660247,107.0601726,,
Kinarya's House,guest_house,,-6.221453899999999,107.00236720000001,Jalan KH Muchtar Tabrani,Bekasi
Restaurant 123,restaurant,regional,-6.589066099999998,107.43267559999998,Jalan Raya Bandung - Purwakarta,
Ewok Steam and Cafe,cafe,regional,-6.323243699999999,106.96214719999999,,Kabupaten Bogor
Mini Market,convenience,,-6.353026999999999,107.37126079999999,,
Mini Market Indomaret Loji,convenience,,-6.5163678,107.22781699999999,,Karawang
황금식당,restaurant,,-6.1587725,106.9070687,,
Giant Mega Bekasi Hypermall,supermarket,,-6.2493694,106.9922246,Jalan Jendral Ahmad Yani,South Bekasi
Super Indo Bulak Kapal,convenience,,-6.2493004,107.0235494,Jl. Bulak Kapal,"Bekasi, West Java"
HARRIS Hotel & Conventions Kelapa Gading,hotel,,-6.1574195,106.91016659999998,Jl. Bulevar Kelapa Gading Blok M,"Kelapa Gading, North Jakarta"
Amaris Hotel Bekasi Barat,hotel,,-6.2532451,106.9915788,Jl. Ahmad Yani No. 99,Bekasi Barat
Fave Hotel Jakarta Gading,hotel,,-6.161190899999999,106.9082509,Jl. Gading Indah Raya,"Gading, North Jakarta"
Pujasera,food_court,,-6.266676199999999,107.10654439999999,Jalan Taman Aster,
KFC,fast_food,chicken,-6.222443899999999,106.92347599999998,Jalan Radin Inten,"Duren Sawit, East Jakarta"
McDonald's,fast_food,burger,-6.2487333,106.95684069999999,,"Jakasampurna, Bekasi"
Naga Swalayan Kranji,supermarket,,-6.225083799999999,106.9795567,Jl. Sultan Agung,"Kranji, Bekasi"
OTW Food Street,restaurant,,-6.170283499999999,106.9034437,Jl. Kelapa Kopyor Raya Blok BA 2,"Kelapa Gading, North Jakarta"
Vila Mahkota Pesona,guest_house,,-6.321267,106.9628124,Jalan Mahkota Raya,Bogor City
ropisbak ghifari grab,cafe,,-6.249901499999999,106.9081626,"Jl. Pangkalan Jati III, Cipinang Melayu, Makasar",East Jakarta
Gading Indah Hotel,hotel,,-6.159943599999999,106.9174531,Jl. Pegangsaan Dua No.10,North Jakarta
KFC Kalimalang,fast_food,,-6.2453959,106.9099588,Jl. Masjid Al-Wustho Blok E No.18,East Jakarta
Total Buah Segar Boulevard Raya,supermarket,,-6.168991600000001,106.90033129999999,Kelapa Gading Boulevard,North Jakarta
Gudang Buah Segar Abadi Ruko Kranji,supermarket,,-6.2291892,106.9766656,Jl. Pemuda Kranji,Bekasi City
Holland Bakery Pekayon,bakery,,-6.261776000000001,106.98737949999999,Jl. Raya Pekayon,West Java
Clairmont Kelapa Gading,bakery,,-6.1666227,106.90120869999998,Jl. Nirwana Boulevard,"Tanah Tinggi, North Jakarta"
Hotel Santika Kelapa Gading,hotel,,-6.150085299999999,106.90276100000001,Jl. Raya Kelapa Nias,"Kelapa Gading, North Jakarta"
Harvest Cibubur,bakery,,-6.388248699999999,106.9428169,Jalan Raya Transyogie Km. 6,"Cibubur, East Jakarta"
Holland Bakery,bakery,,-6.249338999999999,106.95259229999999,Jalan Raya Kalimalang,Bekasi
Holland Bakery Jati Makmur,bakery,,-6.2855568,106.93575099999998,Jalan Raya Jati Makmur,Bekasi
Holland Bakery Pondok Kelapa,bakery,,-6.2297876,106.93509999999999,Jl. Raya Pondok Kelapa Blok C 4,East Jakarta
Holland Bakery Pondok Kopi,bakery,,-6.231875699999999,106.94291259999999,Jl. Pondok Kopi Raya,East Jakarta
Clairmont Bekasi,bakery,,-6.186031999999999,106.97958659999999,Jl. Bulevar Hijau Raya,"Medan Satria, Bekasi"
Holland Bakery Kelapa Gading Timur,bakery,,-6.161615699999999,106.9076101,Jalan Raya Timur Boulevard,"Gading, North Jakarta"
Holland Bakery Semper,bakery,,-6.125066,106.91670279999998,Jl. Kramat Jaya Raya,North Jakarta
Holland Bakkery Koja,bakery,,-6.1135972999999995,106.9031901,Jl. Rawa Badak,North Jakarta
Dapur Cokelat Kelapa Gading,bakery,,-6.1489193,106.9007312,Jalan Kelapa Nias Raya Blok QE1,"Kelapa Gading, North Jakarta"
Holland Bakery Bekasi,bakery,,-6.2407409,106.99248419999999,Ahmad Yani,Bekasi
Dapur Cokelat Harapan Indah,bakery,,-6.186850700000001,106.9773949,Jalan Harapan Indah Raya,"Harapan Indah, Bekasi"
Holland Bakery Cibitung,bakery,,-6.266935,107.0790979,Jl. Teuku Umar,Bekasi
Holland Bakery De Minimalis,bakery,,-6.2658907,107.0164414,"Jalan Jatimulya,",Bekasi
Dapur Cokelat Cibubur,bakery,,-6.388577299999999,106.94274559999998,Jl. Alternatif Cibubur,"Cibubur, East Jakarta"
Dapur Cokelat Galaxy,bakery,,-6.269933299999998,106.97164049999999,Jl. Pulo Sirih Utama,Bekasi
Holland Bakery Narogong,bakery,,-6.310426699999999,106.9850694,Jl. Raya Narogong Km. 10,Bekasi
Holland Bakery Karawang,bakery,,-6.3162807,106.9240593,Jl. Raya Hankam,Bekasi
Holland Bakery Cibubur,bakery,,-6.375775999999998,106.90039850000001,JL. Arteri Cibubur,"Cibubur, East Jakarta"
Dunkin',fast_food,donut;coffee_shop,-6.2856423,106.9118736,Jl. Raya Pondok Gede Jati Rahayu,"Bekasi, West Java"
Domino's Pizza,fast_food,pizza,-6.2749005,106.9869295,,
Restoran Sederhana,restaurant,padang,-6.2761439,106.98820169999999,Jalan Kemang Pratama,Bekasi
HEMA Resto,restaurant,,-6.275668,106.9875335,,
Mie Pangsit Simpur,restaurant,,-6.276670299999998,106.98901849999999,Jalan Kemang Pratama,Bekasi
Kemang Bakery,bakery,,-6.276618999999999,106.98893929999998,Jalan Kemang Pratama,Bekasi
Restoran Zharrini,restaurant,,-6.276953099999999,106.9894926,Jalan Kemang Pratama,Bekasi
A&W,fast_food,,-6.2779636,106.9911474,,
Baskin-Robbins,ice_cream,ice_cream,-6.2778836,106.9909489,,
McDonald Mustikajaya,restaurant,fried_chicken,-6.3213575,107.01583469999998,Jl. Setu - Bantar Gebang,Bekasi
Ayam Lepas,restaurant,chicken,-6.309619699999999,107.0226203,Jalan Zamrud Utara,Bekasi
Yokobento,restaurant,japanese,-6.3099573,107.02224229999999,Jalan Zamrud Utara,Bekasi
Moo Nyusu,cafe,ice_cream,-6.312403399999999,107.02205130000002,Jalan Zamrud Utara,Bekasi
Susu Moo,cafe,ice_cream,-6.3095225,107.02277449999998,Jalan Zamrud Utara,Bekasi
Happiness Cofee and Food,cafe,regional,-6.3139635,107.0215789,Jl. Zamrud Utama,Bekasi
Zamrud Bakery,restaurant,bread,-6.3143264,107.02149209999999,Jl. Zamrud Utama,Bekasi
Nasi Padang Sederhana,restaurant,,-6.3094622,107.0228867,,
HAS Fried Chicken,restaurant,fried_chicken,-6.308275999999999,107.02713399999999,Jalan Zamrud Utara,Bekasi
Bandar Djakarta,seafood,,-6.2267286,106.99722719999998,,
Premier Riviera residence,apartment,,-6.2045134,106.90438909999999,,
hotel danker,hotel,,-6.2582159,107.1428489,,
Sentul Eco-Edu Tourism Forest,park,,-6.571206899999999,106.9130738,,
Bakso wonogiri,restaurant,regional,-6.418102,107.0296185,,
Bu Luluk - Ayam Kampung Kremes & Jamur,fast_food,asian,-6.2391999999999985,106.938639,Jalan Perumkar DKI Blok M2,
Sate Maranggi Cibungur,restaurant,regional,-6.4717694,107.4804409,,
KFC Mustika Jaya,fast_food,chicken,-6.3209079,107.0164322,,
