Nama_Tempat,Kategori,Jenis_Masakan,Latitude,Longitude,Alamat_Jalan,Kota,Geocoding_Status
Alfamart,convenience,,-6.266325999999999,107.1056467,Jalan Taman Aster,Telagaasih,success
Superindo,supermarket,,-6.248874499999999,106.9691274,Jalan K. H. Noer Ali,Bekasi,success
Subway,fast_food,sandwich,-6.328414,107.12792829999998,jalan meranti 1,Bekasi,skip
SGC - Sentra Grosir Cikarang,supermarket,,-6.25821,107.1464706,Jalan R.E. Martadinata,Cikarang,success
kido hums,guest_house,,-6.2354424,106.9260857,Jalan Marinir Timur VII,Jakarta Timur,success
Giant,supermarket,,-6.288243699999999,107.1596674,Jalan Raya Lemahabang,Mekarmukti,success
Pasar Babelan,supermarket,,-6.166212599999999,107.0460704,Jalan Raya Pasar Babelan,Babelan,success
Arundina,supermarket,,-6.4447982,107.0404181,Jalan Bukit Menteng,Bogor,success
Indomaret,convenience,,-6.4448408,107.04031089999998,Jalan Bukit Menteng,Kabupaten Bogor,skip
Mocari Coffee,cafe,coffee_shop,-6.4523195,107.0417539,Jalan Citra Indah Utama,Bogor,success
Hotel Bunga Karang,hotel,,-6.2475799,107.0020788,Jalan RA. Kartini,Bekasi,success
Alfamidi,convenience,,-6.2456085,106.93501449999998,Jalan Raya Pondok Kelapa,Jakarta Timur,success
Salira,convenience,,-6.2427582,106.9342393,Jalan Pondok Kelapa V A,Jakarta Timur,success
Alfa Express,convenience,,-6.2434194,106.9343037,Jalan Raya Pondok Kelapa,Jakarta Timur,success
Pizza Hut,restaurant,pizza,-6.2435573,106.93433559999998,Jalan Raya Pondok Kelapa,Jakarta Timur,success
Naga,supermarket,,-6.25897,107.1475907,Jalan R.E. Martadinata,Cikarang,success
Alfamaret,convenience,,-6.2532909,107.1725784,Jalan Grand Cikarang City,Karangraharja,success
Plaza Jababeka,supermarket,,-6.297913999999999,107.14945509999998,Jalan Industri Utara 1,Pasirsari,success
Paparons Pizza,fast_food,,-6.2971623,107.1475747,Jalan Raya Cibarusah,Pasirsari,success
Grand Zuri,hotel,,-6.298847099999999,107.14841169999998,Jalan Niaga Raya,Pasirsari,success
Carefour,supermarket,,-6.311076,107.1451716,Jalan Raya Cibarusah,Pasirsari,success
UD. Lsetari,convenience,,-6.104700799999999,106.94014009999998,Jl. Sungai Landak,Jakarta Utara,success
Giant Metland,supermarket,,-6.405164,106.97587099999998,Raya Jonggol,Bogor,success
SPBU 34.413.45,fuel,,-6.3554139,107.2298455,Jalan Tol Jakarta-Cikampek,Karawang,skip
Alfamidi Muncang,supermarket,,-6.116137399999999,106.907078,Jalan Mantang Blok L Gang I,Jakarta Utara,success
Pondok Sate Jatisari,restaurant,,-6.340959399999999,106.94498059999998,Jalan Wibawa Mukti II,Bekasi,success
Dapur Betawi,restaurant,,-6.3289632,106.9462011,Jalan Wibawa Mukti II,Bekasi,success
Saung Apung,restaurant,,-6.317267499999999,106.97139129999998,Jalan Campur Sari,Bogor,success
Komsen Akuarium,restaurant,,-6.3059374,106.95612719999998,Jalan Wibawa Mukti II,Bekasi,success
Restoran Pizza Hut - Komsen Jatiasih Bekasi,restaurant,,-6.2927425,106.9599661,"Jalan Raya Jati Asih No.13, Jatiasih, Bekasi, Kota BksJatiasih",Bekasi,skip
